,_id,RecordType,Line,Floor,Description,Area,Price,Value,UAN
263,5ff5fc9e01ca7dbc6d2b25c9,2.0,9,First,Office,12.10,76.50,926.0,336441212
264,5ff5fc9e01ca7dbc6d2b2d10,2.0,9,First,Mess/Staff Room,10.70,10.00,107.0,120965212
265,5ff5fc9e01ca7dbc6d2b2d0b,2.0,4,Ground,Internal Storage,5.00,20.00,100.0,120965212
266,5ff5fc9e01ca7dbc6d2b2d0c,2.0,5,Ground,Office,15.40,25.00,385.0,120965212
267,5ff5fc9e01ca7dbc6d2b25c2,2.0,2,Ground,Office,17.80,90.00,1602.0,336441212
268,5ff5fc9e01ca7dbc6d2b2d08,2.0,1,Ground,Retail Zone A,28.00,200.00,5600.0,120965212
269,5ff5fc9e01ca7dbc6d2b2d09,2.0,2,Ground,Retail Zone B,56.40,100.00,5640.0,120965212
270,5ff5fc9e01ca7dbc6d2b390b,2.0,6,Ground,Office,6.66,90.00,599.0,336441212
271,5ff5fc9e01ca7dbc6d2b3909,2.0,4,Ground,Office,15.80,90.00,1422.0,336441212
272,5ff5fc9e01ca7dbc6d2b3913,2.0,14,Second,Office,25.20,67.50,1701.0,336441212
273,5ff5fc9e01ca7dbc6d2b394e,2.0,1,Ground,Office,75.00,60.00,4500.0,9670408000
274,5ff5fc9e01ca7dbc6d2b390d,2.0,8,Ground,Office,13.08,90.00,1177.0,336441212
275,5ff5fc9e01ca7dbc6d2b3952,2.0,5,Ground,Internal Storage,17.00,30.00,510.0,9670408000
276,5ff5fc9e01ca7dbc6d2b390c,2.0,7,Ground,Office,5.60,90.00,504.0,336441212
277,5ff5fc9e01ca7dbc6d2b3910,2.0,11,First,Kitchen,4.70,76.50,360.0,336441212
278,5ff5fc9e01ca7dbc6d2b3912,2.0,13,First,Office,14.80,76.50,1132.0,336441212
279,5ff5fc9e01ca7dbc6d2b394f,2.0,2,First,Office,76.61,51.00,3907.0,9670408000
280,5ff5fc9e01ca7dbc6d2b3ef9,2.0,1,Ground,Ground Floor Sales,92.65,150.00,13898.0,5113821000
281,5ff5fc9e01ca7dbc6d2b390f,2.0,10,First,Office,15.70,76.50,1201.0,336441212
282,5ff5fc9e01ca7dbc6d2b3911,2.0,12,First,Office,18.80,76.50,1438.0,336441212
283,5ff5fc9e01ca7dbc6d2b3914,2.0,15,Second,Office,4.10,67.50,277.0,336441212
284,5ff5fc9e01ca7dbc6d2b3950,2.0,3,Ground,Garage,13.00,15.00,195.0,9670408000
285,5ff5fc9e01ca7dbc6d2b3906,2.0,1,Ground,Office,10.50,90.00,945.0,336441212
286,5ff5fc9e01ca7dbc6d2b3907,2.0,2,Ground,Office,17.80,90.00,1602.0,336441212
287,5ff5fc9e01ca7dbc6d2b390a,2.0,5,Ground,Office,8.60,90.00,774.0,336441212
288,5ff5fc9e01ca7dbc6d2b3951,2.0,4,Ground,Office,295.77,60.00,17746.0,9670408000
289,5ff5fc9e01ca7dbc6d2b390e,2.0,9,First,Office,12.10,76.50,926.0,336441212
290,5ff5fc9e01ca7dbc6d2b3908,2.0,3,Ground,Office,12.75,90.00,1148.0,336441212
291,5ff5fc9e01ca7dbc6d2b3953,2.0,6,First,Office,92.75,51.00,4730.0,9670408000
292,5ff5fc9e01ca7dbc6d2b5787,2.0,1,Ground,Retail Zone A,34.30,200.00,6860.0,120965212
293,5ff5fc9e01ca7dbc6d2b5788,2.0,2,Ground,Retail Zone B,56.40,100.00,5640.0,120965212
294,5ff5fc9e01ca7dbc6d2b57a8,2.0,3,First,Internal Storage,9.40,77.00,724.0,5113821000
295,5ff5fc9e01ca7dbc6d2b57a9,2.0,4,Mezzanine,Office,40.28,110.00,4431.0,5113821000
296,5ff5fc9e01ca7dbc6d2b578c,2.0,6,First,Office,10.70,12.50,134.0,120965212
297,5ff5fc9e01ca7dbc6d2b5be0,2.0,1,Ground,Retail Zone A,25.74,190.00,4891.0,249380212
298,5ff5fc9e01ca7dbc6d2b534a,2.0,1,Ground,Retail Zone A,25.10,200.00,5020.0,248930212
299,5ff5fc9e01ca7dbc6d2b5789,2.0,3,Ground,Retail Zone C,50.87,50.00,2544.0,120965212
300,5ff5fc9e01ca7dbc6d2b5be3,2.0,4,Ground,Food Processing Areas,26.04,25.00,651.0,249380212
301,5ff5fc9e01ca7dbc6d2b57a6,2.0,1,Ground,Office,83.59,110.00,9195.0,5113821000
302,5ff5fc9e01ca7dbc6d2b578b,2.0,5,First,Office,10.70,12.50,134.0,120965212
303,5ff5fc9e01ca7dbc6d2b578d,2.0,7,First,Office,10.70,12.50,134.0,120965212
304,5ff5fc9e01ca7dbc6d2b578e,2.0,8,First,Plant Room,,0.00,0.0,120965212
305,5ff5fc9e01ca7dbc6d2b57a7,2.0,2,Ground,Kitchen,5.25,110.00,578.0,5113821000
306,5ff5fc9e01ca7dbc6d2b5be1,2.0,2,Ground,Retail Zone B,18.41,95.00,1749.0,249380212
307,5ff5fc9e01ca7dbc6d2b5be2,2.0,3,Ground,Kitchen,4.64,20.00,93.0,249380212
308,5ff5fc9e01ca7dbc6d2b578a,2.0,4,First,Office,15.00,12.50,188.0,120965212
