,_id,RecordType,AssessmentReference,UARN,BillingAuthorityCode,FirmsName,NumberOrName,SubStreet3,SubStreet2,Substreet1,Street,PostalDistrict,Town,County,Postcode,SchemeReference,PrimaryDesc,TotalArea,SubTotal,TotalValue,AdoptedRV,ListYear,BAName,BAReferenceNumber,VORef,FromDate,ToDate,SCAT,UoM,UnadjustedPrice,UAN
0,5ff5f6b401ca7dbc6d014ea8,1.0,18869824000,8982923000,0116,The Occupier,458,,,,STAPLETON ROAD,,BRISTOL,,BS5 6PA,313869.0,Shop And Premises,103.45,8459.0,8459.0,8400.0,2017.0,Bristol City,00015856458008,23363350212.0,01-APR-2017,,249.0,NIA,180.0,8982923000
1,5ff5f6b401ca7dbc6d014f46,1.0,18870588000,248913212,0116,The Occupier,379,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TS,315166.0,Shop And Premises,42.1,7200.0,7200.0,7200.0,2017.0,Bristol City,00012362379038,20709390212.0,01-APR-2017,,249.0,NIA,200.0,248913212
2,5ff5f6b401ca7dbc6d014c70,1.0,17950375000,321712212,0116,,335-337,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TJ,413249.0,Large Foodstore & Premises,1220.0,128100.0,128100.0,128000.0,2017.0,Bristol City,0001236233501B,20760391212.0,01-APR-2017,,152.0,GIA,105.0,321712212
3,5ff5f6b401ca7dbc6d0147c4,1.0,21031461000,12032600000,0116,The Occupier,DAINTON SELF STORAGE,,,,NEW GATTON ROAD,,BRISTOL,,BS2 9SH,359479.0,Land Used For Storage And Premises,8000.0,96000.0,187975.0,187000.0,2017.0,Bristol City,00019330001012,33419953285.0,11-SEP-2019,,148.0,NIA,12.0,12032600000
4,5ff5f6b401ca7dbc6d01474b,1.0,19743043000,10944259000,0116,The Occupier,GND FLR 134-136,,,,FISHPONDS ROAD,EASTVILLE,BRISTOL,,BS5 6PP,355050.0,Restaurant And Premises,153.37,9921.0,9921.0,9900.0,2017.0,Bristol City,00012502134001,29850406212.0,09-OCT-2017,,249.0,OTH,75.0,10944259000
5,5ff5f6b401ca7dbc6d0151b1,1.0,18871351000,10167036000,0116,The Occupier,313,,,,GLOUCESTER ROAD,HORFIELD,BRISTOL,,BS7 8PE,315166.0,Shop And Premises,78.38,18465.0,18961.0,18750.0,2017.0,Bristol City,00015491313007,26629575212.0,01-APR-2017,,249.0,NIA,350.0,10167036000
6,5ff5f6b401ca7dbc6d014f47,1.0,18870592000,248888212,0116,The Occupier,315,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8PE,315166.0,Shop And Premises,334.41,34963.0,34963.0,34750.0,2017.0,Bristol City,0001236231504B,20709418212.0,01-APR-2017,,249.0,NIA,350.0,248888212
7,5ff5f6b401ca7dbc6d01501f,1.0,18870697000,248935212,0116,The Occupier,417,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TZ,315166.0,Shop And Premises,100.1,10010.0,10010.0,10000.0,2017.0,Bristol City,00012362417009,20709330212.0,01-APR-2017,,249.0,NIA,200.0,248935212
8,5ff5f6b401ca7dbc6d01506f,1.0,18871249000,10510757000,0116,The Occupier,342,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TJ,315166.0,Shop And Premises,54.54,8655.0,8655.0,8600.0,2017.0,Bristol City,00012362342034,27663470212.0,01-APR-2017,,249.0,NIA,200.0,10510757000
9,5ff5f6b401ca7dbc6d014ee1,1.0,18869899000,8079884000,0116,The Occupier,284,,,,STAPLETON ROAD,,BRISTOL,,BS5 0NW,313869.0,Shop And Premises,58.93,6439.0,6439.0,6400.0,2017.0,Bristol City,00015856284034,20778967212.0,01-APR-2017,,249.0,NIA,200.0,8079884000
10,5ff5f6b401ca7dbc6d014bdf,1.0,18885853000,120981212,0116,The Occupier,441,,,,STAPLETON ROAD,,BRISTOL,,BS5 6NA,313869.0,Shop And Premises,87.18,8134.0,8134.0,8100.0,2017.0,Bristol City,00015856441007,27775461212.0,01-APR-2017,,249.0,NIA,200.0,120981212
11,5ff5f6b401ca7dbc6d01504e,1.0,18869225000,88130212,0116,The Occupier,44,,,,MINA ROAD,,BRISTOL,,BS2 9XH,313869.0,Shop And Premises,69.03,3264.0,3264.0,3250.0,2017.0,Bristol City,00012530044003,20756439212.0,01-APR-2017,,249.0,NIA,200.0,88130212
12,5ff5f6b401ca7dbc6d014b5e,1.0,19532311000,9670408000,0116,The Occupier,BROOKLAND HALL & THE MANSE,,,,CONDUIT PLACE,,BRISTOL,,BS2 9RU,435684.0,Consulting Rooms And Premises,570.13,31588.0,46948.0,46750.0,2017.0,Bristol City,00013010100008,29274140212.0,29-JUN-2017,,437.0,EFA,60.0,9670408000
13,5ff5f6b401ca7dbc6d015b13,1.0,20409341000,12001163000,0116,The Occupier,324,,,,GLOUCESTER ROAD,BISHOPSTON,BRISTOL,,BS7 8TJ,315166.0,Shop And Premises,101.66,8118.0,8118.0,8100.0,2017.0,Bristol City,00012362324012,33343510285.0,04-APR-2019,,249.0,NIA,200.0,12001163000
14,5ff5f6b401ca7dbc6d015e2c,1.0,19712503000,11105312000,0116,The Occupier,356,,,,GLOUCESTER ROAD,HORFIELD,BRISTOL,,BS7 8TP,315166.0,Shop And Premises,20.78,4156.0,4156.0,4150.0,2017.0,Bristol City,00012362356034,29738453541.0,21-SEP-2017,,249.0,NIA,200.0,11105312000
